По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,year,month,day,date,temperature_mean,pressure_mean,humidity_mean,wind_speed_avg_mean,wind_speed_avg_max,solar_rad_sum,uv_max,pcp_sum
2020-01-30,1.0,7000.0,,7000.0,2020,1,30,2020-01-30,-8.903125,748.71875,90.625,1.1500000000000001,2.2,253.0,3.0,25.400000000000002
2020-01-31,4.0,7500.0,,7500.0,2020,1,31,2020-01-31,-2.378125,742.59375,94.6875,1.9656250000000002,3.1,151.0,3.0,29.5
2020-02-01,,,,,2020,2,1,2020-02-01,-2.0875,741.21875,95.0,1.0875000000000001,2.7,157.0,3.0,18.6
2020-02-02,,,,,2020,2,2,2020-02-02,-2.09375,741.40625,94.90625,1.115625,2.7,283.0,3.0,6.9
2020-02-03,,,,,2020,2,3,2020-02-03,-1.75,729.4375,94.6875,2.44375,4.5,166.0,3.0,25.2
2020-02-04,,,,,2020,2,4,2020-02-04,-0.009375000000000008,725.375,95.78125,1.221875,2.2,212.0,3.0,9.4
2020-02-05,,,,,2020,2,5,2020-02-05,-3.75,730.65625,92.9375,0.815625,1.3,249.0,3.0,13.2
2020-02-06,,,,,2020,2,6,2020-02-06,-9.55625,736.375,86.53125,1.2281250000000001,2.7,344.0,3.0,13.7
2020-02-07,,,,,2020,2,7,2020-02-07,-11.31875,737.4375,87.03125,0.96875,1.8,338.0,3.0,15.4
2020-02-08,,,,,2020,2,8,2020-02-08,-15.1625,742.125,84.46875,1.596875,2.7,1054.0,3.0,1.5
2020-02-09,,,,,2020,2,9,2020-02-09,-16.3375,747.78125,85.78125,1.059375,2.2,1210.0,3.0,10.0
2020-02-10,,,,,2020,2,10,2020-02-10,-8.8,742.5625,90.9375,0.8625,1.8,250.0,3.0,12.0
2020-02-11,,,,,2020,2,11,2020-02-11,-6.3875,742.40625,81.1875,1.3062500000000001,2.7,488.0,3.0,0.8
2020-02-12,,,,,2020,2,12,2020-02-12,-6.696875,746.46875,75.0,1.003125,1.8,1016.0,3.0,1.5
2020-02-13,1.0,1000.0,,1000.0,2020,2,13,2020-02-13,-8.51875,746.96875,81.0625,0.9375,1.0,431.0,3.0,12.5
2020-02-14,,,,,2020,2,14,2020-02-14,-7.29375,748.09375,87.71875,0.965625,1.3,422.0,4.0,15.700000000000001
2020-02-15,,,,,2020,2,15,2020-02-15,-8.5625,752.9375,88.5,0.928125,1.0,397.0,4.0,5.0
2020-02-16,,,,,2020,2,16,2020-02-16,-9.159375,758.09375,91.1875,0.928125,1.8,494.0,4.0,4.7
2020-02-17,,,,,2020,2,17,2020-02-17,-4.351612903225806,751.8387096774194,91.09677419354838,2.383870967741936,4.0,418.0,4.0,10.5
2020-02-18,,,,,2020,2,18,2020-02-18,0.93125,742.15625,90.6875,1.6,3.6,440.0,4.0,5.4
2020-02-19,,,,,2020,2,19,2020-02-19,0.65625,742.09375,92.90625,0.9500000000000001,1.8,335.0,4.0,3.8
2020-02-20,,,,,2020,2,20,2020-02-20,0.509375,745.4375,93.4375,0.83125,1.3,347.0,4.0,2.1
2020-02-21,,,,,2020,2,21,2020-02-21,0.48709677419354835,750.516129032258,94.09677419354838,0.9064516129032258,1.8,282.0,4.0,6.1
2020-02-22,,,,,2020,2,22,2020-02-22,-0.365625,754.75,93.8125,0.90625,1.0,342.0,4.0,6.3
2020-02-23,,,,,2020,2,23,2020-02-23,-2.4060606060606062,749.1818181818181,85.39393939393939,2.1818181818181817,4.5,2072.0,4.0,7.8
2020-02-24,,,,,2020,2,24,2020-02-24,-1.8838709677419354,736.4516129032259,92.06451612903226,1.9935483870967743,4.0,284.0,4.0,22.6
2020-02-25,,,,,2020,2,25,2020-02-25,-0.734375,736.53125,93.03125,1.9468750000000001,3.6,415.0,4.0,27.4
2020-02-26,,,,,2020,2,26,2020-02-26,-0.69375,732.5625,92.875,1.5375,3.1,444.0,4.0,18.6
2020-02-27,,,,,2020,2,27,2020-02-27,-2.503125,739.28125,94.4375,0.89375,1.3,384.0,4.0,13.5
2020-02-28,1.0,300.0,,300.0,2020,2,28,2020-02-28,1.45625,739.3125,96.375,1.51875,2.7,334.0,4.0,4.4
2020-02-29,,,,,2020,2,29,2020-02-29,0.23125,737.3125,89.3125,2.1281250000000003,4.5,568.0,4.0,10.6
2020-03-01,,,,,2020,3,1,2020-03-01,-1.678125,745.0625,78.78125,1.2906250000000001,3.6,1541.0,5.0,6.4
2020-03-02,,,,,2020,3,2,2020-03-02,-1.196875,748.40625,82.96875,1.34375,3.1,670.0,5.0,7.6000000000000005
2020-03-03,,,,,2020,3,3,2020-03-03,2.5,750.28125,81.6875,1.2375,2.2,715.0,5.0,1.6
2020-03-04,,,,,2020,3,4,2020-03-04,0.921875,750.46875,81.5625,0.90625,2.2,732.0,5.0,3.4
2020-03-05,,,,,2020,3,5,2020-03-05,-3.5625,758.15625,70.71875,1.15625,3.6,3794.0,5.0,0.0
2020-03-06,,,,,2020,3,6,2020-03-06,-3.6375,759.46875,71.9375,1.53125,3.1,2498.0,5.0,0.4
2020-03-07,,,,,2020,3,7,2020-03-07,-1.84375,755.125,75.0,1.88125,3.1,792.0,5.0,6.4
2020-03-08,,,,,2020,3,8,2020-03-08,-0.19062500000000002,752.03125,78.375,1.58125,2.7,790.0,5.0,22.4
2020-03-09,,,,,2020,3,9,2020-03-09,1.478125,749.96875,94.59375,0.821875,1.3,414.0,5.0,2.0
2020-03-10,,,,,2020,3,10,2020-03-10,1.31875,751.125,90.625,1.315625,2.7,2125.0,5.0,1.1
2020-03-11,,,,,2020,3,11,2020-03-11,4.490625,745.03125,77.75,1.50625,3.1,750.0,5.0,0.0
2020-03-12,,,,,2020,3,12,2020-03-12,3.659375,736.59375,80.6875,2.2,3.6,856.0,5.0,1.3
2020-03-13,,,,,2020,3,13,2020-03-13,2.775,731.71875,90.8125,1.875,5.8,1146.0,5.0,0.4
2020-03-14,,,,,2020,3,14,2020-03-14,2.4375,733.25,80.46875,1.484375,2.7,995.0,5.0,0.1
2020-03-15,,,,,2020,3,15,2020-03-15,1.0875,738.53125,87.625,0.9875,1.3,746.0,5.0,4.7
2020-03-16,,,,,2020,3,16,2020-03-16,-0.11562500000000005,745.34375,73.71875,2.0,6.6,1888.0,5.0,5.4
2020-03-17,,,,,2020,3,17,2020-03-17,-1.16875,746.90625,76.9375,1.25625,3.6,960.0,6.0,5.8
2020-03-18,,,,,2020,3,18,2020-03-18,1.503125,750.34375,81.15625,0.89375,1.3,1506.0,6.0,0.0
2020-03-19,,,,,2020,3,19,2020-03-19,2.740625,740.59375,84.65625,1.425,2.2,799.0,6.0,3.6
2020-03-20,,,,,2020,3,20,2020-03-20,2.15625,737.09375,81.03125,1.14375,2.7,1760.0,6.0,1.3
2020-03-21,,,,,2020,3,21,2020-03-21,-0.88125,740.875,83.75,1.278125,3.6,1235.0,6.0,14.5
2020-03-22,,,,,2020,3,22,2020-03-22,-4.446875,754.46875,56.90625,1.4312500000000001,2.7,4708.0,6.0,6.7
2020-03-23,,,,,2020,3,23,2020-03-23,-4.746875,761.59375,61.375,1.94375,3.6,5412.0,6.0,0.0
2020-03-24,,,,,2020,3,24,2020-03-24,-1.38125,757.9375,85.53125,2.328125,6.7,798.0,6.0,22.4
2020-03-25,,,,,2020,3,25,2020-03-25,-1.390625,757.0,84.34375,1.14375,2.2,3839.0,6.0,9.3
2020-03-26,,,,,2020,3,26,2020-03-26,3.303125,751.625,63.5,1.253125,3.1,1805.0,6.0,1.4
2020-03-27,,,,,2020,3,27,2020-03-27,4.671875,755.34375,61.59375,1.034375,2.7,3769.0,6.0,0.0
2020-03-28,,,,,2020,3,28,2020-03-28,6.128125,754.0,63.71875,1.2375,3.6,1234.0,6.0,0.0
2020-03-29,,,,,2020,3,29,2020-03-29,5.861290322580646,748.241935483871,69.7258064516129,1.2451612903225806,3.6,1058.0,6.0,0.0
2020-03-30,,,,,2020,3,30,2020-03-30,8.493333333333334,743.7333333333333,59.43333333333333,1.1533333333333333,2.2,1241.0,6.0,0.0
2020-03-31,,,,,2020,3,31,2020-03-31,6.645161290322581,740.5967741935484,64.33870967741936,1.238709677419355,2.7,1706.5,6.0,0.5
2020-04-01,,,,,2020,4,1,2020-04-01,2.4516129032258065,734.9032258064516,71.25806451612904,1.7096774193548387,4.0,1466.0,6.0,8.4
2020-04-02,,,,,2020,4,2,2020-04-02,-0.14062499999999997,738.0,68.5,1.278125,2.2,2112.0,6.0,4.1
2020-04-03,,,,,2020,4,3,2020-04-03,3.6687499999999997,745.65625,69.125,1.16875,4.3,2027.0,7.0,1.7
2020-04-04,,,,,2020,4,4,2020-04-04,7.6343749999999995,745.25,49.75,1.409375,2.2,6537.0,7.0,0.0
2020-04-05,,,,,2020,4,5,2020-04-05,4.425,744.65625,56.875,1.325,3.1,1802.0,7.0,0.0
2020-04-06,,,,,2020,4,6,2020-04-06,1.2,746.0,49.78125,1.115625,3.1,2204.0,7.0,0.0
2020-04-07,,,,,2020,4,7,2020-04-07,-0.328125,749.78125,49.78125,2.590625,5.8,5434.0,7.0,1.5
2020-04-08,,,,,2020,4,8,2020-04-08,0.24062500000000003,745.375,53.6875,1.2,3.1,5113.0,7.0,3.5
2020-04-09,,,,,2020,4,9,2020-04-09,7.121875,744.8125,63.3125,0.95,1.8,5267.0,7.0,0.9
2020-04-10,,,,,2020,4,10,2020-04-10,9.643333333333334,743.2666666666667,56.13333333333333,2.046666666666667,4.0,1416.0,7.0,0.1
2020-04-11,,,,,2020,4,11,2020-04-11,9.638709677419355,743.0322580645161,44.20967741935484,2.180645161290323,4.0,1401.5,7.0,0.7000000000000001
2020-04-12,,,,,2020,4,12,2020-04-12,7.428125,740.59375,71.03125,1.46875,4.0,1456.0,7.0,2.1
2020-04-13,,,,,2020,4,13,2020-04-13,3.221875,739.53125,92.90625,1.459375,3.1,999.0,7.0,1.2000000000000002
2020-04-14,,,,,2020,4,14,2020-04-14,3.275,743.53125,87.71875,0.971875,1.8,1866.0,7.0,0.6000000000000001
2020-04-15,,,,,2020,4,15,2020-04-15,8.59375,740.84375,66.3125,1.75625,3.6,3710.0,7.0,0.1
2020-04-16,,,,,2020,4,16,2020-04-16,5.216666666666667,735.3,70.43333333333334,2.4166666666666665,4.9,1283.0,7.0,1.5
2020-04-17,,,,,2020,4,17,2020-04-17,3.6774193548387095,732.6451612903226,82.45161290322581,2.6225806451612903,8.5,1792.5,7.0,2.5
2020-04-18,,,,,2020,4,18,2020-04-18,3.578125,734.8125,86.65625,1.121875,2.7,1229.0,7.0,0.30000000000000004
2020-04-19,,,,,2020,4,19,2020-04-19,3.8406249999999997,745.25,79.1875,1.084375,2.2,5783.0,7.0,0.2
2020-04-20,,,,,2020,4,20,2020-04-20,5.519354838709678,749.0,70.03225806451613,1.064516129032258,2.2,1987.0,7.0,0.1
2020-04-21,,,,,2020,4,21,2020-04-21,4.0625,744.34375,88.0,1.9468750000000001,4.5,1187.0,7.0,2.3000000000000003
2020-04-22,1.0,300.0,,300.0,2020,4,22,2020-04-22,4.9625,730.25,87.34375,1.13125,2.7,3213.0,8.0,1.3
2020-04-23,,,,,2020,4,23,2020-04-23,-0.528125,733.0,87.09375,1.45,3.6,1533.0,8.0,34.9
2020-04-24,,,,,2020,4,24,2020-04-24,-0.984375,737.28125,74.78125,1.253125,3.1,3009.0,8.0,4.8
2020-04-25,,,,,2020,4,25,2020-04-25,2.390625,736.5625,83.84375,1.4312500000000001,4.5,1435.0,8.0,4.9
2020-04-26,,,,,2020,4,26,2020-04-26,8.625,737.5625,82.96875,1.54375,3.1,1694.0,8.0,1.4000000000000001
